Architecture,BestFitness,BestScore,Time
22→32→24→3 (baseline),6266.483678521593,310,54.711
22→64→3 (wide single),5344.09856782491,230,55.269
22→40→3 (medium single),5221.235704512475,230,46.051
22→16→3 (minimal),4474.254191187255,190,43.172
22→48→24→3 (pyramid),6365.459268857015,320,52.824
22→32→32→3 (symmetric),4912.413944818968,230,52.506
22→24→24→24→3 (deep),6006.602763159847,270,58.186
22→80→3 (very wide),5813.1359687453005,250,52.956
22→36→18→3 (halving),7626.177894668061,380,43.052
22→20→20→3 (deep narrow),4775.222972972972,200,40.559
