Run,BestFitness,BestScore,Time
1,4358.812692701155,190,16.3
2,4020.2933728446883,170,16.0
3,4734.839517062905,200,24.771
4,4466.633960483923,210,22.497
5,5557.275914951548,290,22.399
6,5490.154596251175,230,19.038
7,4840.912757595423,230,24.266
8,3822.4201436793574,170,21.094
9,5750.161797538394,270,20.358
10,4729.023535563046,210,20.407
11,4703.32043075529,200,24.668
12,6066.20384205674,300,25.612
13,5334.0170851725925,260,20.916
14,5415.223014497224,240,24.356
15,4609.26279061438,220,20.313
16,5287.11427667766,250,20.458
17,4814.812149135355,240,20.952
18,4883.044428290952,210,19.531
19,5680.056584321309,240,19.552
20,4676.498988688654,190,19.771
